Coding,Description,tag_name,[2003] EWCA Crim 3 (Charis),[2003] EWCA Crim 3 (Vili),[2003] EWCA Crim 2243 (Charis),[2003] EWCA Crim 2243 (Vili),[2004] EWCA Crim 2278 (Charis),[2004] EWCA Crim 2278 (Vili),[2005] EWCA Crim 1983 (Charis),[2005] EWCA Crim 1983 (Vili),[2006] EWCA Crim 694 (Charis),[2006] EWCA Crim 694 (Vili),[2006] EWCA Crim 1155 (Charis),[2006] EWCA Crim 1155 (Vili),[2007] EWCA Crim 1530 (Charis),[2007] EWCA Crim 1530 (Vili),[2008] EWCA Crim 553 (Charis),[2008] EWCA Crim 553 (Vili),[2009] EWCA Crim 1431 (Charis),[2009] EWCA Crim 1431 (Vili),[2010] EWCA Crim 712 (Charis),[2010] EWCA Crim 712 (Vili),[2012] EWCA Crim 720 (Charis),[2012] EWCA Crim 720 (Vili),[2013] EWCA Crim 801 (Charis),[2013] EWCA Crim 801 (Vili),[2013] EWCA Crim 1649 (Charis),[2013] EWCA Crim 1649 (Vili),[2016] EWCA Crim 52 (Charis),[2016] EWCA Crim 52 (Vili),[2017] EWCA Crim 1851 (Charis),[2017] EWCA Crim 1851 (Vili),[2018] EWCA Crim 1766 (Charis),[2018] EWCA Crim 1766 (Vili),[2019] EWCA Crim 362 (Charis),[2019] EWCA Crim 362 (Vili),[2020] EWCA Crim 499 (Charis),[2020] EWCA Crim 499 (Vili),[2022] EWCA Crim 83 (Charis),[2022] EWCA Crim 83 (Vili),[2023] EWCA Crim 231 (Charis),[2023] EWCA Crim 231 (Vili)
DefEvidTypeTrial Which Types of Evidence Did Defence Present at Trial?,"EG. Offender denies offence, Offender claims to have alibi, No clothing found matching offender’s, No recovery of stolen goods from offender, Previous ruling in another court case, Consistency of offender evidence in court and at police interview, Offender of previous good character, Lack of DNA evidence to support allegations, Lack of medical evidence to support allegations, Victim is not credible/is unreliable, Question admissibility of some item of evidence, Offender admits only to lesser offence, Offender states co-accused is responsible for main offence, Offender argues he/she left scene before main offence committed, Offender uses bad character evidence against co-accused, ‘Cut-throat’ defence, XXX",DefEvidTypeTrial,NA,Don't know,"Exact: no causative culpability. Because the de-threading of the bolt was an unforeseeable event, his client could not be faulted for failing to have taken steps to prevent it occurring. The offence was not a very serious example of a breach;

Comment: Previous cases.","Exact: no causative culpability. Because the de-threading of the bolt was an unforeseeable event, his client could not be faulted for failing to have taken steps to prevent it occurring. The offence was not a very serious example of a breach of section 85(3). It was of no economic effect on the public; its spatial and temporal effect was limited. The court should not treat every minor infringement of this legislation as if it was a major one.;

Comment: ","Exact: the appellants' own evidence was essentially to the effect that they were aware that bootleg recordings were not recordings which were likely to have been recordings approved by the holders of the trade marks, and, indeed, were recordings capable of being sold at an enhanced price, one can only surmise, for that very reason.;

Comment: Offender denies offence","Exact: believed that trading was permissible;

Comment: Was not aware that trading the items was illegal","Exact: “any order restricting the publication of any report of the whole or any part of a trial on indictment or any such ancillary proceedings”.;

Comment: ",Don't know,"Exact: Another witness, Ryan McCarron, was called on behalf of the defence.;

Comment: Eye-witness testimony;

Exact: had acted in self-defence. Moreover, it was the defence case that there had been no kick to the head;

Comment: Offender acted in self defence & denied part of offence","Exact: had acted in self-defence;

Comment: Acted in self-defence;

Exact: Another witness, Ryan McCarron, was called on behalf of the defence;

Comment: Eye-witness testimony","Exact: the appellant was the victim of a corrupt plot to implicate him;

Comment: Davis Appeal",-,"Exact: denied the assault in the house, saying he had driven straight home from the pub.;

Comment: Offender denies part offence","Exact: previous good character for the purposes of sentence;

Comment: Offender of previous good character","Exact: At interview he initially denied the offences.;

Comment: Offender (initially) denied offence",N/A,Don't Know,Don't know,"Exact: psychological evidence. The defence called a consultant psychologist, Miss Jennifer Cutler, who carried out an assessment of the appellant and found him to have Asperger's Syndrome.;

Comment: ;

Exact: no recollection of events;

Comment: Denied memory of offence",N/A,"Exact: He pleaded not guilty to all counts.;

Comment: Offender denies offences","Exact: The records in question concerned SJ's misbehaviour at school on certain occasions.;

Comment: ","Exact: expert evidence, the Crown called Dr Swift, a forensic pathologist, and Professor Myers, a burns expert.;

Comment: Expert testimony;

Exact: The defence case was that the appellant was not responsible for murdering his sister-in-law. The appellant denied presence at the time she died.;

Comment: Alibi","Exact: He said that he left the house at Palmerston Road shortly before 20.21 hours.;

Comment: Offender claims to have alibi;

Exact: The appellant denied presence at the time she died;

Comment: Offender denies offence","Exact: These submissions have focused largely but not exclusively on Mr McNulty’s cross-examination of Ray and Simon, on a number of legal submissions;

Comment: Victim not credible/is unreliable, question admissibility of (police testimony)",Offender denies offence,"Exact: (both consultant psychologists) as to Ali’s intellectual capacity. He suffers from a borderline mental handicap;

Comment: ;

Exact: He consistently denied any part in KP’s death.;

Comment: Offender denies offence","Exact: Fresh evidence suggested that KP might have died in 1982 not 1981;

Comment: Victim was not killed in this crime;

Exact: Charlton beat her to death, but that he (Ali) had not touched her until after her death;

Comment: Offender states co-accused is responsible for main offence;

Exact: Charlton’s defence was that he did not know KP or his co-accused or D and the prosecution could not prove the identification of the remains. He did not give evidence;

Comment: Denied offense;

Exact: After the conclusion of the final tape, PC Soden overheard Ali in conversation with two inmates awaiting a shower. Ali said that Charlton had made him do it – and that Charlton ‘was a psycho and would have done him if he hadn’t’;

Comment: Police testimony","Exact: appellant had provided an alibi in his defence statement,;

Comment: ;

Exact: In his police interview he denied being involved in the robbery, but was unable to provide details of where he was at time;

Comment: Denied offence","Exact: alibi;

Comment: Alibi","Exact: pre-sentence report in respect of the offender.;

Comment: ",,"Exact: Chartered Forensic Psychologist, which diagnosed a learning disability with an IQ of less than 70, and the report of an intermediary. 16.The pre-sentence report referred to the appellant's emotional, behavioural and social difficulties and vulnerability;

Comment: Expert evidence",,"Exact: Attorney General v Mulholland and Foster [1963] 2 QB 477;

Comment: ;

Exact: He gave evidence that he had seen Mr Davies push Mr Jones from behind;

Comment: Eye-witness testimony.",NA,Don't know,N/A,"Exact: he was advised to plead guilty.  We are unable to accept that assertion.;

Comment: Defence was improper legal advise",Don't know
JuryInstruct Trial Judge Instructions to Jury,"EG. Are they “sure” defendant is the offender? Jury should only use particular evidence for a specific purpose, XXX",JuryInstruct,NA,Don't know,NA,NA,"Exact: The jury were then directed that they should consider whether or not the defence under section 92(5) had been established, namely, as the judge put it, that the defendants believed on reasonable grounds that the use of the sign in the manner in which it was used was not an infringement of the registered trade mark. It was in the light of those directions that the jury convicted;

Comment: ",N/A,NA,N/A,"Exact: The judge did, of course, give a general direction on the burden and standard of proof at a different point;

Comment: ",,"Exact: the jury was asked to consider his case as if she was the witness with a personal grudge against the appellant;

Comment: Davis Appeal",-,NA,N/A,NA,N/A,,N/A,"Exact: And so my direction is this: if in the time available, which will be a little over two hours, if in that time, you are able, conscientiously to reach verdicts on the evidence, then obviously you will be able to reach verdicts. If within that time you cannot reach verdicts, obviously there is no more available time and so what I would be left to do is to discharge you from giving verdicts so the case can be retried on a later date, do you follow me?;

Comment: ",N/A,Don't know,N/A,Don't know,"Exact: directed the jury;

Comment: Reminder of witness credibility","Exact: The Watson direction;

Comment: ;

Exact: majority direction;

Comment: ",-,"Exact: Rose J had directed the jury in clear terms that Ali’s interviews were not evidence against Charlton and that, if the case against Charlton depended on Ali’s evidence in court, the jury would not “for one moment contemplate convicting Charlton”.;

Comment: First appeal judgement",-,"Exact: He reminded the jury about the evidence of the appellant's conviction for robbery. He warned them against prejudice and over-reliance on the evidence. He also explained why they had heard it;

Comment: ;

Exact: Crucially, the jury was told that they could not and should not convict solely on the basis of the previous conviction, but that it was to be borne in mind when considering the improbability of multiple coincidences.;

Comment: ","Exact: informed the jury of why they had heard the evidence of the appellant's previous conviction, warned them against prejudice and over-reliance, directed them that they were entitled to consider it when assessing the appellant's explanation and that it was for them to decide how much it assisted them;

Comment: Warned jury against prejudice and over-reliance of evidence of previous convictions;

Exact: The jury would be addressed by experienced counsel and would be properly directed as to the reliance they could place on the conviction.;

Comment: ",NA,,NA,N/A,"Exact: the jury had been directed to return their not guilty verdict;

Comment: ",NA,Don't know,N/A,Don't know,N/A
"Did Trial Judge Hold VoirDire? 
If YES, What was Outcome? VoirDireOutcome","Yes/No
If YES, judge ruled evidence admissible/Judge ruled evidence inadmissible",VoirDire,NA,Don't know,No,No,No,N/A,No,N/A,No,,Don't know,Don't know,No,N/A,No,N/A,No,N/A,Don't know,N/A,"Exact: First, the judge had allowed certain evidence to be called which ought not to have gone before the jury. Secondly, the judge's direction concerning the applicant's good character was unsatisfactory. The Court of Appeal directed a retrial;

Comment: Inadmissible evidence, retrial ordered",N/A,Don't know,"Exact: voir dire;

Comment: Yes",Don't know,N/A,"Exact: court held this was credible and admissible evidence that might have had an impact on the verdict. It quashed the conviction and ordered a re-trial.;

Comment: Evidence admissible",-,Don't know,Don't know,NA,,No,N/A,NO,NO,Don't know,N/A,No,N/A
,,VoirDireOutcome,NA,,NA,NA,NA,,NA,,NA,,Don't know,,NA,,NA,,NA,,NA,,"Exact: First, the judge had allowed certain evidence to be called which ought not to have gone before the jury. Secondly, the judge's direction concerning the applicant's good character was unsatisfactory. The Court of Appeal directed a retrial;

Comment: Inadmissible evidence, retrial ordered",,NA,"Exact: admissible;

Comment: ",NA,,"Exact: court held this was credible and admissible evidence that might have had an impact on the verdict. It quashed the conviction and ordered a re-trial.;

Comment: Evidence admissible",-,NA,,NA,,NA,,NA,,NA,,NA,
PreSentReport Pre-sentence Report Assessment Presented to Sentencing Court,Low/Medium/High risk of reoffending/Don’t know,PreSentReport,NA,Don't know,NA,NA,No,N/A,No,N/A,Don't know,,Don't know,Don't know,"Exact: pre-sentence report in which the author said that the use of a weapon and the premeditation involved were both aggravating factors, as indeed they were. But he nevertheless identified the offender as having a low risk of reoffending;

Comment: Low risk of reoffending;

Exact: Following preparation of a pre-sentence report;

Comment: ","Exact: The court had a pre-sentence report in which the author said that the use of a weapon and the premeditation involved were both aggravating factors, as indeed they were. But he nevertheless identified the offender as having a low risk of reoffending and recommended a community order;

Comment: Low risk of reoffending","Exact: In a pre-sentence report;

Comment: ","Exact: pre-sentence report;

Comment: Don't know",Don't Know,Dont' know,Don't know,N/A,Don't know,N/A,,N/A,Don't know,,Don't know,-,Don't know,N/A,"Exact: medium risk of re-offending and a medium risk of harm in the form of physical violence;

Comment: ...medium risk of re-offending and a medium risk of harm in the form of physical violence...","Exact: medium risk of re-offending and a medium risk of harm in the form of physical violence to women with whom he was in an intimate relationship;

Comment: Medium risk of reoffending;

Exact: pre-sentence report in respect of the offender.;

Comment: ;

Exact: pre-sentence report;

Comment: ","Exact: Chartered Forensic Psychologist, which diagnosed a learning disability with an IQ of less than 70, and the report of an intermediary. 16.The pre-sentence report referred to the appellant's emotional, behavioural and social difficulties and vulnerability;

Comment: Expert evidence","Exact: pre-sentence report referred to the appellant's emotional, behavioural and social difficulties and vulnerability to negative peer pressure. It recommended a community order, but counsel realistically acknowledged that a custodial sentence was inevitable;

Comment: ",Don’t know,NO,Don't know,Don't know,Don't know,N/A
AggFactSent What Aggravating Factors did Court Consider When Sentencing?,"EG. Offender had previous (relevant) convictions, Offender showed no remorse, Offence committed on while offender was on bail, Offence committed while offender was on licence, Offender failed to comply with court orders, Offender not emphatic to victim empathy, Victim was vulnerable, Offender was intoxicated with drink, Offender was intoxicated with drugs, Offender was intoxicated with drinks&drugs, Offence was committed in public, Sustained nature of offence, Offender continued with offence even after intervention by others, XXX",AggFactSent,NA,Don't know,"Exact: very substantial and said the effect on an area near the source was catastrophic for the fish and wildlife. She said she had heard evidence of the observation of dead fish over a 2 kilometre stretch of the river, and had also seen a photograph of a dead swan.;

Comment: ","Exact: he judge described the appellant’s failure as grossly irresponsible.;

Comment: AggFactSent",NA,N/A,NA,N/A,Don't know,"Exact: The appellant's account was that he had had one pint of lager;

Comment: Offender was intoxicated with drinks;

Exact: The previous convictions were adduced before the jury by a police officer, Detective Sergeant Dale. He had no personal knowledge of any of the previous offences and what he was able to impart to the court came entirely from the Police National Computer. He referred to a conviction before the Wigan Magistrates in 1992 for common assault. He said that the print-out from the computer stated that the appellant had been asked to leave a shop and had punched a 22 year old to the face resulting in cuts and bruising. The second conviction was in 1995 at Abergavenny Magistrates' Court and according to Sergeant Dale concerned the use of a pool cue to hit the complainant. He then referred to a conviction in 1997 in the Wigan Magistrates' Court for threatening behaviour, adding that the facts were reported as being a punch by the defendant to an unknown male and abuse to police officers. The most recent conviction was in 2004, again in the Wigan Magistrates' Court, for common assault, the allegation being that the appellant had struck a 14 year old male in a shop.;

Comment: Previous relevant convictions;

Exact: prosecution case was of a wholly unprovoked attack;

Comment: Unprovoked attack","Exact: absence of any or any significant attempt at concealment.;

Comment: Both appeals.","Exact: beginning with the appellant’s departure from this country shortly after the killing, to Jamaica, a;

Comment: Fled country;

Exact: fter arrest the four appellants were interviewed. Martin denied any involvement in the offences, and offered an alibi. He told untruths about his link with the Vectra which had travelled to Northampton, and the purchase of the red Mondeo. In general terms, Gregory declined to answer any questions, stating that he did not want to remember where he had been at the New Year because of the death of his brother. Ellis denied involvement, and at first exercised his right of silence. When he was later interviewed, he denied any involvement with the red Mondeo, and at a subsequent interview, claimed that gunshot residue found on his clothing had come from fireworks or through other innocent contact. As to the telephone calls, he claimed that it was impossible for him so long after the events to recollect any specific details. However he did not believe that his phone had been in anyone else’s possession. In his interviews, Simms effectively made no comment, but on the last occasion when he was interviewed he denied any involvement in the shooting or in the obtaining of the red Mondeo. He admitted that he was present at Uniseven at the material time, along with several members of his family, who he would not have endangered. He agreed that the phone 845 was his telephone, and asserted that he had received telephone calls while at Uniseven from different people asking him about the quality of the music, but as the music was loud there were several missed calls. In view of the lapse of time, he could not remember any other details. In due course alibi notices were served by Martin, Gregory and Ellis.;

Comment: ","Exact: The following aggravating features are identified with the commission of this offence. First, the offender deliberately armed himself with a weapon. Secondly, he entered the victim's house at night as a trespasser, and third, he assaulted him whilst he was asleep.;

Comment: ;

Exact: pre-sentence report in which the author said that the use of a weapon and the premeditation involved were both aggravating factors, as indeed they were. But he nevertheless identified the offender as having a low risk of reoffending;

Comment: Low risk of reoffending","Exact: he assaulted him whilst he was asleep;

Comment: Assaulted him whist he was asleep;

Exact: he entered the victim's house at night as a trespasser;

Comment: Entered the victim's house at night as a trespasser;

Exact: First, the offender deliberately armed himself with a weapon;

Comment: Offender deliberately armed himself with a weapon","Exact: ""spree"" of serious offending;

Comment: ;

Exact: complete disregard of the law in relation to driving. He had the previous conviction;

Comment: ","Exact: He has previous convictions for taking a vehicle without consent and other driving offences in April 2006 for which he received a four months' referral order;

Comment: ","Exact: record of convictions going back to 1995;

Comment: ","Exact: There is a record of convictions going back to 1995. In August 1995 he was sent to prison for 4 year for various offences of robbery and attempted robbery. In 1999 he was before the court for possessing an offensive weapons in public. In 2001 he was before the Grimsby and Cleethorpe Magistrates for having an article with a blade. Later the same year he was before the Great Grimsby Crown Court for possessing written material which was threatening, abusive or insulting and he received a sentence of imprisonment of 12 months.;

Comment: Offender had previous (relevant) convictions",Don't know,,Don't know,"Exact: teenage boys;

Comment: Victim was vulnerable (underage)",Don't know,"Exact: . He was told that if Tahir gave evidence all his family would be ""disturbed and crushed"". D;

Comment: ;

Exact: male on a motorcycle had attended Tahir's home in Pakistan and threatened his family if Tahir were to give evidence;

Comment: ;

Exact: further threat was made to Tahir's wife;

Comment: ;

Exact: he appellant lied in saying that he had not bought petrol on 4 January 2011.;

Comment: Appellant lied","Exact: He had numerous contacts in the terrorist world. He was determined and sophisticated in what he did, and devoted his whole energies to the task of recruiting.;

Comment: ",-,Don't know,"Exact: iii) Charlton’s gardening activities over the site of the grave and any proven lies in his interview;;

Comment: Lied in interviews;

Exact: glue-sniffing and prostitution.;

Comment: ;

Exact: He consistently denied any part in KP’s death.;

Comment: ;

Exact: Charlton warned D to say nothing or she would die the same way;

Comment: ;

Exact: had sex with her;

Comment: ","Exact: previous conviction;

Comment: ","Exact: The offence had taken place on 8th April, when he and another man had threatened a security guard and stolen a cash box containing £14,500. The robbers had been masked, armed with a sword, and they had made off in a waiting car.;

Comment: Previous conviction;

Exact: The appellant's previous conviction for robbery;

Comment: Previous conviction;

Exact: refused in his interview to say where he had been at the time of the robbery;

Comment: ;

Exact: Evidence that the appellant bought gloves of the exact make and type used by robber 2, using cash passed to him by Baines, and that shortly afterwards Baines bought the axe used in the robbery.;

Comment: Planning;

Exact: axes;

Comment: Use of a weapon to frighten or injure victim;

Exact: £1,000 in cash;

Comment: ","Exact: number of aggravating circumstances;

Comment: Presence of offenders children","Exact: there was the ongoing effect on the victims who had been forced to leave their home;

Comment: ;

Exact: he violence had been inflicted in the victim's home;

Comment: ;

Exact: he offender had an antecedent history of eight previous convictions imposed on six previous occasions since 2007 when he was 16 years old. He had convictions for burglary, public order and possession of class A drug offences. Materially, in 2009 he pleaded guilty to two counts of battery and one count of criminal damage for which he was sentenced to a 12-month community order. The victim was his mother. In 2015 he pleaded guilty to an offence of assault occasioning actual bodily harm for which he was sentenced to a term of nine months' imprisonment. That offence had involved violence against another man who had been accused by a former partner.;

Comment: Previous offences;

Exact: The offender told L, aged seven, to collect her things,;

Comment: presence of others;

Exact: The offender's sons saw what took place from their open bedroom doorway;

Comment: Vulnerable witness;

Exact: grabbed her by the hair and threw her into the bedroom;

Comment: Vulnerable victim","Exact: the appellant's previous convictions aggravated the offending;

Comment: ;

Exact: no exceptional circumstances. He stated that, first, the appellant was well aware;

Comment: ;

Exact: He had already acquired a bad record,;

Comment: ","Exact: previous convictions aggravated;

Comment: ",NA,NA,Don't know,N/A,"Exact: acting together with the other two for the whole enterprise;

Comment: ","Exact: lcohol, cannabis and cocaine were consumed;

Comment: Offender was intoxicated with drinks & drugs"
MitFactSent What Mitigating Factors did Court Consider When Sentencing?,"EG. Offender showed (genuine) remorse, Offender was ashamed, Offender was of previous good character/offence out of character, Testimonial by employer, Testimonial by personal-partner, Offender has no (relevant) previous convictions, Offender voluntarily sought counselling, Offender voluntarily stopped drinking/determined to address alcohol addiction, Offender voluntarily stopped taking drugs/determined to address drug addiction, Offender has serious medical condition, Offender has mental disorder/learning disability (not linked to commission of offence), Offender experienced ‘bad patch’ in life, Offender age/lack of maturity affecting responsibility, Offender sole/primary carer for dependant relatives, Lapse of time/Long delay before prosecution not fault of offender, XXX",MitFactSent,NA,Don't know,"Exact: mitigation:i)the plea of guilty;ii)co-operation with the Environment Agency;iii)restoring the river the following day;iv)achieving improvement;;

Comment: ","Exact: The river had recovered 24 hours later and this was due to the prompt remedial action taken by the appellant;

Comment: MitFactSent",NA,N/A,NA,N/A,Don't know,,Don't know,N/A,"Exact: On the other hand, there was substantial mitigation, strongly relied upon by Mr Mills. First, his early plea of guilty. Second, his real remorse. Third, that no permanent injury appears to have been occasioned to the victim. Fourth, that the offender is of effective previous good character.;

Comment: ;

Exact: double jeopardy,;

Comment: ;

Exact: considerable mitigation in this case, not least the offender's early plea of guilty.;

Comment: ","Exact: the offender is of effective previous good character;

Comment: ;

Exact: that no permanent injury appears to have been occasioned to the victim;

Comment: ;

Exact: his real remorse;

Comment: ;

Exact: his early plea of guilty;

Comment: Early plea of guilt","Exact: appellant was only 18 years of age at the time; that he had never received a custodial sentence before; that he had pleaded guilty at the first opportunity; and that, although he has previous convictions, his record was by no means serious.;

Comment: ","Exact: Because of the appellant's youth;

Comment: ;

Exact: He had never received a custodial sentence;

Comment: ","Exact: no evidence that any attack was actually planned or imminent.;

Comment: ;

Exact: ot actually manufactured an explosive;

Comment: ",N/A,Don't know,N/A,Don't know,,Don't know,N/A,"Exact: mitigatory effect on the basis that nobody had actually gone abroad to fight as a result of his activities and also that he had no relevant previous convictions, those factors were clearly taken into account;

Comment: ",N/A,Don't know,N/A,Don't know,N/A,"Exact: mitigating factor;

Comment: Offender showed (genuine) remorse,Offender mental ilness, Offender sole/primary carer for children","Exact: His distress throughout interview was ""quite evident"".;

Comment: Genuine remorse","Exact: personal mitigation identified in the expert and pre-sentence reports, the appellant's young age, the principle of totality and the pleas of guilty.;

Comment: ;

Exact: no intention to possess or use it in the future; and that he had no previous convictions for offences relating to weapons or violence.;

Comment: ","Exact: the pleas of guilty;

Comment: plead guilty;

Exact: he appellant's young age;

Comment: young age;

Exact: which diagnosed a learning disability with an IQ of less than 70, and the report of an intermediary.;

Comment: mental illness or disability;

Exact: it being a stun gun, it was not a lethal weapon; that it did not belong to the appellant and he was never in physical possession of it; that his legal possession of it was of a technical nature because it was in his car; that in any event the possession was of short duration; that the appellant had had no intention to possess or use it in the future; and that he had no previous convictions for offences relating to weapons or violence;

Comment: ","Exact: appellant's sincere;

Comment: ",NA,Don't know,N/A,"Exact: judge also said in the context of mitigation that he did not accept that there was any convincing evidence of psychiatric history;

Comment: No other mit factors addresses",N/A
VicImpactStatement Was Victim Impact Statement Given at Original Sentencing?,Yes/No/Don’t know,VicImpactStatement,NA,Don't know,NA,NA,No,N/A,No,Don't know,Don't know,,,Don't know,No,N/A,No,N/A,,Don't know,Don't know,N/A,Don't know,N/A,No,N/A,No,No,Don't know,N/A,Don't know,N/A,"Exact: victim personal statement dated 15 March 2018 which she read to the court.;

Comment: ","Exact: K made a victim personal statement dated 15 March 2018 which she read to the court;

Comment: Yes",NA,Don't know,Don’t know,NA,No,Don't know,No,Don't know
"Who is Appellant?
If Offender is Appellant, Were There any Co-defendants/co-accused in Case? 

If YES, how many? CoDefAccNum","Offender/Attorney General/Other
N/A/Yes/No

If YES, numeric",Appellant,"Exact: MICHAEL JONES;

Comment: MICHAEL JONES is name of appellant. Inferred that appellant is offender.","Exact: MICHAEL JONES;

Comment: ","Exact: Anglian Water Services Ltd;

Comment: ","Exact: Anglian Water Services Ltd;

Comment: Anglian Water Services Ltd","Exact: MARK WAKEFIELD AND MARK ANDREW PURSEGLOVE;

Comment: 2 individual male offenders","Exact: MARK ANDREW PURSEGLOVE;

Comment: ;

Exact: MARK WAKEFIELD;

Comment: ","Exact: TEESIDE CROWN COURT– ex parte GAZETTE MEDIA COMPANY LTD AND OTHERS

Comment: ","Exact: three media companies pursuant;

Comment: Other","Exact: ZANE ROY AINSCOUGH;

Comment: Male offender","Exact: ZANE ROY AINSCOUGH;

Comment: Offender","Exact: Marcus Ellis, Michael Gregory and Nathan Martin;

Comment: Offenders in Ellis Appeal;

Exact: Rodrigo Simms;

Comment: Offender in Ellis Appeal;

Exact: Iain Davis;

Comment: Offender in Davis Appeal","Exact: Marcus Ellis, Michael Gregory and Nathan Martin;

Comment: ;

Exact: Iain Davis;

Comment: ","Exact: REFERENCE BY THE ATTORNEY GENERAL;

Comment: ","Exact: The Attorney-General seeks leave;

Comment: Attorney General","Exact: JAMES  IAN  McNEILL;

Comment: 1 individual male offender","Exact: JAMES  IAN  McNEILL;

Comment: Offender","Exact: NATHAN LUKE WORRELL;

Comment: Offender","Exact: NATHAN LUKE WORRELL;

Comment: Offender","Exact: PAVLOS GEORGIOU KAZANTZIS;

Comment: Individual male offender","Exact: PAVLOS GEORGIOU KAZANTZIS;

Comment: Offender","Exact: PF;

Comment: 1 individual male offender","Exact: PF;

Comment: Offender","Exact: ABDUL  JABBAR;

Comment: ","Exact: ABDUL  JABBAR;

Comment: Offender","Exact: Munir Ahmed Farooqi

Comment: 3 individual male. Offenders","Exact: Munir Ahmed Farooqi

Comment: Offender","Exact: ALAN CHARLTON AND IDRIS ALI;

Comment: 2 individual male appellents, offenders","Exact: ALAN CHARLTON AND IDRIS ALI;

Comment: Offender","Exact: DANIEL  GLEN  HAY;

Comment: 1 individual male offender","Exact: appellant appeals;

Comment: Offender",,"Exact: Solicitor General;

Comment: General Counsel","Exact: MOHAMMED  SHAHEL  HUSSAIN;

Comment: 1 individual male offender","Exact: pplicant applies for leave to appeal in respect of the sentences imposed on him;

Comment: Offender","Exact: NICHOLAS WARNER;

Comment: Offender.","Exact: NICHOLAS WARNER;

Comment: ","Exact: RHYS MORAR;

Comment: Offender","Exact: RHYS MORAR;

Comment: ","Exact: RUBEN  THOMAS  PATRICK  HOATHER;

Comment: ","Exact: RUBEN  THOMAS  PATRICK  HOATHER;

Comment: "
,,Co-defendants/co-accused,NA,,NA,NA,NA,,NA,,No,,"Exact: co-accused Tafarwa Beckford, who was acquitted;

Comment: 1 co-accused in Ellis Appeal",,No,,No,N/A,No,N/A,No,N/A,No,,"Exact: brother, Mohammed Arshad;

Comment: 1",,"Exact: Farooqi assisted by co-defendants.;

Comment: ",,"Exact: ALAN CHARLTON AND IDRIS ALI;

Comment: 2 individual male appellents, offenders",,"Exact: A co-defendant, Matthew Baines,;

Comment: 1 individual male co-defendant",,NA,,No,,NA,,No,,"Exact: two co-accused, Wiltshire and Wood,;

Comment: 2",
,,CoDefAccNum,NA,,NA,NA,NA,"Exact: MARK WAKEFIELD AND MARK ANDREW PURSEGLOVE;

Comment: 2;

Exact: MARK WAKEFIELD AND MARK ANDREW PURSEGLOVE;

Comment: 1",NA,"Exact: two men, S and L;

Comment: 1",NA,,"Exact: co-accused Tafarwa Beckford, who was acquitted;

Comment: 1 co-accused in Ellis Appeal","Exact: Marcus Ellis, Michael Gregory and Nathan Martin;

Comment: 3",NA,,NA,,NA,,NA,,NA,,"Exact: brother, Mohammed Arshad;

Comment: 1","Exact: The appellant and his brother;

Comment: 2",Don't know,"Exact: Farooqi, Matthew Newton, Israr Malik and Harris Farooqi (Farooqi’s son);

Comment: 4","Exact: ALAN CHARLTON AND IDRIS ALI;

Comment: 2 individual male appellents, offenders","Exact: ALAN CHARLTON AND IDRIS ALI;

Comment: 1","Exact: A co-defendant, Matthew Baines,;

Comment: 1 individual male co-defendant","Exact: A co-defendant, Matthew Baines;

Comment: 1",NA,,NA,,NA,,NA,,"Exact: two co-accused, Wiltshire and Wood,;

Comment: 2","Exact: two co-accused;

Comment: two co-accused"
